ID,Make
1,Acura
2,Alfa Romeo
3,AM General
4,American Motors Corporation
5,ASC Incorporated
6,Aston Martin
7,Audi
8,Aurora Cars Ltd
9,Autokraft Limited
10,Avanti Motor Corporation
11,Azure Dynamics
12,Bentley
13,Bertone
14,Bill Dovell Motor Car Company
15,Bitter Gmbh and Co. Kg
16,BMW
17,BMW Alpina
18,Bugatti
19,Buick
20,BYD
21,Cadillac
22,CCC Engineering
23,Chevrolet
24,Chrysler
25,CODA Automotive
26,Consulier Industries Inc
27,CX Automotive
28,Dabryan Coach Builders Inc
29,Dacia
30,Daewoo
31,Daihatsu
32,Dodge
33,"E. P. Dutton, Inc."
34,Eagle
35,Environmental Rsch and Devp Corp
36,Evans Automobiles
37,Excalibur Autos
38,Federal Coach
39,Ferrari
40,Fiat
41,Fisker
42,Ford
43,General Motors
44,Genesis
45,Geo
46,GMC
47,Goldacre
48,Grumman Allied Industries
49,Grumman Olson
50,Honda
51,Hummer
52,Hyundai
53,Import Foreign Auto Sales Inc
54,Import Trade Services
55,INEOS Automotive
56,Infiniti
57,Isis Imports Ltd
58,Isuzu
59,J.K. Motors
60,Jaguar
61,"JBA Motorcars, Inc."
62,Jeep
63,Kandi
64,Karma
65,Kenyon Corporation Of America
66,Kia
67,Koenigsegg
68,Laforza Automobile Inc
69,Lambda Control Systems
70,Lamborghini
71,Land Rover
72,Lexus
73,Lincoln
74,London Coach Co Inc
75,London Taxi
76,Lordstown
77,Lotus
78,Lucid
79,Mahindra
80,Maserati
81,Maybach
82,Mazda
83,Mcevoy Motors
84,McLaren Automotive
85,Mercedes-Benz
86,Mercury
87,Merkur
88,MINI
89,Mitsubishi
90,Mobility Ventures LLC
91,Morgan
92,Nissan
93,Oldsmobile
94,Pagani
95,Panos
96,Panoz Auto-Development
97,Panther Car Company Limited
98,PAS Inc - GMC
99,"PAS, Inc"
100,Peugeot
101,Pininfarina
102,Plymouth
103,Polestar
104,Pontiac
105,Porsche
106,Quantum Technologies
107,Qvale
108,Ram
109,Red Shift Ltd.
110,Renault
111,Rivian
112,Rolls-Royce
113,Roush Performance
114,RUF Automobile
115,Ruf Automobile Gmbh
116,S and S Coach Company  E.p. Dutton
117,Saab
118,Saleen
119,Saleen Performance
120,Saturn
121,Scion
122,Shelby
123,smart
124,Spyker
125,SRT
126,Sterling
127,STI
128,Subaru
129,Superior Coaches Div E.p. Dutton
130,Suzuki
131,"Tecstar, LP"
132,Tesla
133,Texas Coach Company
134,Toyota
135,TVR Engineering Ltd
136,Vector
137,Vinfast
138,Vixen Motor Company
139,Volga Associated Automobile
140,Volkswagen
141,Volvo
142,VPG
143,Wallace Environmental
144,Yugo
